Name,B,W,H,Tall,Weight,Birthday,Reliablity
藤崎奈々子,83,56,83,162,,,unknown
藤田ニコル,,,,,,,
藤田恵名,,,,,,,
藤堂莉香,,,,,,,
藤本綾,,,,,,,
藤本美貴,79,59,82,155,45,,unknown
藤木由貴,,,,,,,
道重さゆみ,82,58,83,160,,,unknown
道端アンジェリカ,86,60,88,174,,,unknown
道端カレン,82,60,87,173,52,,unknown
道端ジェシカ,85,59,90,173,,,unknown
徳永えり,,,,,,1988/05/09,
徳江かな,,,,,,,
奈月セナ,,,,,,,
内山理名,79,56,79,157,,,unknown
内田さやか,,,,,,,
内田有紀,82,58,83,165,49,,unknown
内田理央,80,58,82,166,,1991/09/27,
内藤陽子,,,,,,,
南まりか,,,,,,,
南結衣,,,,,,,
南沢奈央,83,60,86,163,,,unknown
南明奈,80,59,83,159,46,,unknown
南野陽子,80,52,82,162,45,,unknown
南條有香,,,,,,,
楠みゆう,,,,,,,
日向泉,,,,,,,
日南響子,,,,,,,
日比美思,,,,,,,
入山杏奈,,,,,,,
忍野さら,,,,,,,
波瑠,,,,164,,1991/06/17,
馬場ふみか,83,56,84,167,,1995/06/21,
馬場園梓,104,90,100,155,73,,unknown
梅宮アンナ,84,60,88,168,50,,unknown
柏木由紀,75,54,81,163,,,unknown
白河優菜,,,,,,,
白間美瑠,,,,,,,
白石みずほ,,,,,,,
白石美帆,,,,,,,
白石麻衣,,,,,,,
白鳥百合子,,,,,,,
薄井しお里,,,,,,,
畑中葉子,83,60,87,154,,,unknown
八代みなせ,,,,,,,
板谷由夏,82,59,84,170,,,unknown
板野友美,78,55,78,154,37.5,,unknown
飯田里穂,,,,,,,
飯島愛,,,,,,,
飯島直子,86,60,85,166,,,unknown
尾崎ナナ,,,,,,,
尾崎愛花,,,,,,,
尾島知佳,,,,,,,
尾野真千子,,,,,,,
疋田紗也,,,,,,,
百川晴香,,,,,,,
浜崎あゆみ,80,53,82,156,,,unknown
浜田ブリトニー,85,65,85,146,,,unknown
浜田由梨,,,,,,,
浜田翔子,80,54,83,157,,,unknown
浜辺美波,,,,156,,2000/08/29,
富樫あずさ,,,,,,,
冨永 愛,81,61,88,179,,,unknown
譜久村聖,,,,,,,
武井咲,76,58,81,166,,1993/12/25,unknown
武田あやな,,,,,,,
武田久美子,85,58,82,158,,1968/08/12,
武田玲奈,,,,,,,
風吹ジュン,81,58,82,157,,,unknown
福井セリナ,,,,,,,
福永ちな,,,,,,,
福岡みなみ,,,,153,,1995/05/01,
福下恵美,,,,,,,
福田沙紀,79,58,80,156,47,1990/09/19,unknown
福田萌,78,59,80,153,40,,unknown
平愛梨,85,58,88,155,45,,unknown
平山あや,8？,59,82,161,,,unknown
平田弥里,,,,,,,
平嶋夏海,,,,,,,
平林あずみ,,,,,,,
米倉涼子,80.5,58,83,168,,,unknown
片岡沙耶,,,,,,,
片山萌美,92,59,87,170,,1990/10/01,
片瀬 那奈,86,59,87,172,53,,unknown
片瀬那奈,,,,,,,
片平なぎさ,85,62,88,167,50,,unknown
辺見えみり,85,58,87,166,49,,unknown
峯岸みなみ,80,60,86,158,,,unknown
芳本美代子,,,,158,,1969/03/18,
萌木七海,,,,,,,
豊田ルナ,,,,,,,
北見千賀,,,,,,,
北原佐和子,,,,160,,1964/03/19,
北原里英,,,,,,,
北向珠夕,,,,,,,
北川景子,75,53,81,160,,,unknown
北川弘美,,,,,,,
北谷ゆり,,,,,,,
北乃きい,80,61,81,157,48,,unknown
牧野真莉愛,,,,,,,
堀井美月,,,,,,,
堀越のり,,,,,,,
堀田ゆい夏,,,,,,,
堀北真希,78,58,83,160,,,unknown
本仮屋ユイカ,78,54,82,166,,,unknown
本郷杏,,,,,,,
本上まなみ,82,59,88,168,,,unknown
本田翼,84,62,88,166,,,unknown
麻亜里,,,,,,,
麻生祐未,87,59,87,161,48,,unknown
麻木久仁子,80,58,83,159,,,unknown
末永佳子,,,,,,,
末永遥,,,,,,,
満島ひかり,75,60.5,89,162,,,unknown
夢見るぅ,,,,,,,
名波はるか,,,,,,,
木下優樹菜,88,58,86,168,54,,unknown
木口亜矢,,,,,,,
木崎ゆりあ,,,,,,,
木村カエラ,82,59,84,154,41,,unknown
木村佳乃,83,58,83,169,47,,unknown
木村多江,84,59,87,162,,,unknown
木嶋のりこ,,,,,,,
木野花,90,67,91,160,,,unknown
門倉まこ,,,,,,,
野村真美,82,59,87,165,47,,unknown
野村佑香,,,,,,,
野田彩加,,,,,,,
野呂佳代,,,,,,,
矢吹春奈,,,,,,,
矢沢心,80,56,84,160,43,,unknown
矢田亜希子,83,60,90,164,,,unknown
矢島舞美,,,,,,,
矢部美穂,82,58,80,156,42,,unknown
柳いろは,,,,,,,
柳ゆり菜,86,59,85,167,53,1994/04/19,
柳原可奈子,105,89,102,153,74,,unknown
柳瀬早紀,,,,,,,
優香,87,59,85,157,47,,unknown
優木まおみ,80,59,88,165,47,,unknown
友近,94,63.8,90,156,,,unknown
有村架純,80,60,82,160,,,unknown
有村藍里,,,,,,,
由美かおる,86,58,86,157,44,,unknown
与田祐希,,,,,,,
葉加瀬マイ,,,,,,,
葉月あや,,,,,,,
葉月つばさ,,,,,,,
葉月ゆめ,,,,,,,
葉川空美,,,,,,,
来栖あこ,,,,,,,
来栖あつこ,,,,,,,
梨花,85,57,89,165,40,,unknown
里田まい,,,,,,,
立花麗美,,,,,,,
涼本めぐみ,,,,,,,
緑川のりこ,,,,,,,
林ゆめ,,,,,,,
類家明日香,,,,,,,
鈴木あみ,80,55,82,158,44,,unknown
鈴木えみ,82,58,86,168,43,,unknown
鈴木ちなみ,80,59,86,,,,
鈴木ふみ奈,,,,,,,
鈴木愛理,,,,,,,
鈴木茜,,,,,,,
鈴木杏樹,81,57,86,161,43,,unknown
鈴木京香,88,59,89,166,,,unknown
鈴木砂羽,88,59,87,164,,,unknown
鈴木咲,,,,,,,
鈴木史華,,,,,,,
鈴木紗理奈,,,,,,,
鈴木唯,,,,,,1993/12/13,
鈴木友菜,,,,,,,
蓮舫,80,58,80,160,,,unknown
和希沙也,,,,,,,
和久井映見,82,57,85,158,45,,unknown
和泉ひより,,,,,,,
和地つかさ,,,,,,,
和田絵莉,,,,,,,
和田彩花,,,,,,,
脇田穂乃香,,,,,,,
鷲巣あやの,,,,,,,
傳谷英里香,,,,,,,
兒玉遥,,,,,,,
團遥香,,,,,,,
榮倉奈々,78,59,86,171,52,1988/02/12,
櫻井音乃,,,,,,,
櫻井淳子,80,60,85,162,,,unknown
澤山璃奈,,,,,,,
澤田夏生,,,,,,,
澤北るな,82,58,82,162,,1998/11/11,
澤木律沙,,,,,,,
眞鍋かをり,84,55,88,165,,,unknown
筧美和子,89,60,85,164,,1994/03/06,
蛯原友里,82,58,83,168,48,,unknown
