Name,B,W,H,Tall,Weight,Birthday,Reliablity
華原朋美,,,,,,,
華彩なな,,,,,,,
華村あすか,86,60,83,168,,1999/03/18,
海江田純子,,,,,,,
海川ひとみ,,,,,,,
階戸瑠李,,,,,,,
外岡えりか,,,,,,,
街山みほ,,,,,,,
叶姉妹,,,,,,,
叶美香,98,58,91,170,68,,unknown
管野美穂,81,54,82,158,42,,unknown
貫地谷しほり,83,58,84,156,,,unknown
間宮夕貴,,,,,,,
関根麻里,81,56,86,154,47,,unknown
関根優那,,,,,,,
関水渚,,,,159,,1998/06/05,
丸高愛実,83,60,86,164,,,unknown
丸高愛美,,,,,,,
岸明日香,,,,,,,
岩佐真悠子,,,,,,,
岩崎名美,,,,,,,
喜屋武ちあき,,,,,,,
喜多嶋舞,85,58,86,163,47,,unknown
貴島明日香,76,56,87,171,,1996/02/15,
鬼頭桃菜,,,,,,,
菊川怜,80,58,83,166,47,,unknown
菊地亜美,85,60,86,164,,,unknown
菊地凛子,82,58,85,169,47,,unknown
菊池桃子,79,59,85,161,47,,unknown
菊池麻衣子,80,56,85,160,45,,unknown
吉井怜,,,,,,,
吉岡美穂,85,59,87,169,,,unknown
吉岡里帆,,,,,,,
吉見衣世,,,,,,,
吉見早央,,,,,,,
吉高由里子,85,63,88,157,,,unknown
吉崎綾,82,58,86,,154,1996/06/03,
吉瀬美智子,80,59,86,167,,,unknown
吉川ひなの,80,57,82,168,,,unknown
吉川綾乃,,,,,,,
吉川友,,,,,,,
吉田ユウ,,,,,,,
吉田亜咲,,,,,,,
吉田朱里,,,,,,,
吉田深里,,,,,,,
吉田羊,,,,163,,,
吉田莉桜,,,,,,,
吉本多香美,,,,,,,
吉本美憂,,,,,,,
吉木りさ,80,59,88,162,44,,unknown
吉野紗香,,,,,,,
橘ゆりか,,,,,,,
橘希,,,,,,,
久慈暁子,80,58,83,166,,1994/07/13,
久住小春,,,,,,,
久松かおり,,,,,,,
久松郁実,,,,165,,1996/02/18,
久保ユリカ,,,,,,,
久宥茜,,,,,,,
宮崎香蓮,70,58,78,156,34,,unknown
宮前真樹,,,,,,,
宮沢りえ,82,60,85,167,,,unknown
宮地真緒,87,58,85,168,,1984/02/02,
宮脇咲良,,,,,,,
宮澤佐江,,,,,,,
牛川とこ,,,,,,,
京佳,,,,,,,
京本有加,,,,,,,
京野ことみ,83,58,85,162,46,,unknown
橋本マナミ,,,,,,,
橋本愛,80,58,82,165,40,,unknown
橋本真帆,,,,,,,
橋本萌花,,,,,,,
橋本梨菜,,,,,,,
曲山えり,,,,,,,
玉置成実,,,,,,,
桐山瑠衣,92,58,88,163,,,unknown
桐村萌絵,,,,,,,
桐谷美玲,78,57,83,163.5,39,,unknown
芹沢潤,,,,,,,
芹那,87,57,84,161,43,,unknown
金子理江,,,,,,,
金子栞,,,,,,,
熊江琉唯,,,,,,,
熊田曜子,92,56,84,164,,,unknown
栗山千明,81,58,83,162,48,,unknown
栗田恵美,,,,,,,
栗田梨子,,,,,,,
結城ちか,,,,,,,
権藤葵,,,,,,,
犬童美乃梨,,,,,,,
原あや香,,,,,,,
原幹恵,94,61,88,163,,,unknown
原沙知絵,80,58,90,173,,,unknown
原史奈,,,,,,,
原千晶,86,64,88,165,,,unknown
原田桜怜,,,,,,,
古瀬絵理,,,,,,,
古田愛理,,,,,,,
古畑奈和,,,,,,,
戸田 恵梨香,75,57,78,163,,,unknown
戸田れい,,,,,,,
戸田恵梨香,,,,,,,
虎南有香,,,,,,,
五月みどり,88,63,90,156,,,unknown
後藤真希,,,,,,,
後藤理沙,85,60,87,167,,,unknown
護あさな,,,,,,,
倖田來未,90,60,85,154,,,unknown
向井地美音,,,,,,,
工藤静香,80,54,83,161,,,unknown
工藤美桜,,,,,,,
工藤里紗,,,,,,,
広瀬アリス,,,,165,,1994/12/11,広瀬 晶
広瀬すず,,,,159,,1986/06/19,
広末涼子,77,55,81,160,41,,unknown
江角マキコ,83,58,86,170,,,unknown
江口ともみ,80,57,83,158,,,unknown
江川有未,,,,,,,
甲斐まり恵,,,,,,,
荒井萌,,,,,,,
香坂みゆき,76,58,83,157,44,,unknown
香里奈,80,58,88,165,46,,unknown
高岡未来,,,,,,,
高橋 みなみ,74,56.5,81,148.5,,,unknown
高橋ひとみ,80,61,82,166,,,unknown
高橋みなみ,,,,,,,
高橋メアリージュン,85,58,86,169,,,unknown
高橋亜由美,,,,,,,
高橋愛,80,56,83,153,42,,unknown
高橋朱里,,,,,,,
高橋由美子,,,,,,,
高橋凛,,,,,,,
高見奈央,,,,,,,
高崎かなみ,,,,,,,
高崎聖子,,,,,,,
高樹澪,85,57,82,160,44,,unknown
高城亜樹,,,,,,,
高杉杏,,,,,,,
高田秋,,,,,,,
高島礼子,84,56,89,168,,,unknown
高嶋香帆,80,59,80,162,,1992/01/20,
高畑充希,,,,158,,1991/12/14,
高部あい,,,,,,,
高木あずさ,,,,,,,
剛力彩芽,,,,,,,
国生さゆり,78,58,84,163,48,,unknown
国仲涼子,84,58,85,157,44,,unknown
国分佐智子,83,58,85,163,,,unknown
黒川芽以,,,,,,,
黒谷友香,83,60,85,170,,,unknown
黒田美礼,,,,,,,
黒田有彩,,,,,,,
黒木ひかり,,,,,,,
黒木メイサ,80,58,82,165,50,,unknown
黒木華,,,,164,,1990/03/14,
黒木瞳,80,58,85,163,46,,unknown
今井美樹,80,58,85,168,44,,unknown
今泉佑唯,,,,,,,
今田美桜,,,,157,,1997/03/05,
今野杏南,86,59,83,156,,,unknown
根本はるみ,103,60,88,166,58,,unknown
根本凪,,,,,,,
紺野栞,,,,,,,
佐々木もよこ,,,,,,,
佐々木絵里,,,,,,,
佐々木希,80,58,82,168,,,unknown
佐々木心音,,,,,,,
佐々木麻衣,,,,,,,
佐山彩香,,,,,,,
佐藤ゆりな,,,,,,,
佐藤寛子,,,,,,,
佐藤江梨子,88,58,88,173,53,,unknown
佐藤仁美,84,60,86,156,,,unknown
佐藤聖羅,,,,,,,
佐藤美希,,,,,,,
佐藤唯,82,57,79,152,41,,unknown
佐藤藍子,80,58,83,164,,,unknown
佐藤和沙,,,,,,,
佐野ひなこ,84,51,83,160,,1994/10/13,
佐野夏芽,,,,,,,
佐野量子,,,,,,1968/08/22,
最上もが,,,,,,,
彩川ひなの,,,,,,,
斎藤眞利奈,,,,,,,
細川ふみえ,90,59,87,163,,,unknown
細川直美,83,54,83,163,41,,unknown
菜々緒,80,57,83,172,49.5,,unknown
菜乃花,,,,,,,
財前直美,80,58,84,165,48,,unknown
坂井真紀,80,56,86,160,,,unknown
坂下 千里子,84,58,85,162,48,,unknown
坂下千里子,,,,,,,
坂口杏里,80,59,88,168,,,unknown
坂木優子,,,,,,,
榊原郁恵,85,63,88,155,,,unknown
咲良七海,,,,,,,
桜井 幸子,78,57,82,157,42,,unknown
桜井えりな,,,,,,,
桜井幸子,,,,,,,
桜庭あつこ,,,,,,,
桜庭ななみ,79,60,87,162.5,,,unknown
三井麻由,,,,,,,
三浦理恵子,,,,,,,
三吉彩花,,,,,,,
三原勇希,,,,,,,
三瀬真美子,,,,,,,
三船美佳,82,62,88,160,51,,unknown
三津谷葉子,,,,,,,
山岸舞彩,84,57,84,168,,,unknown
山口もえ,82,58,83,160,43,,unknown
山口沙紀,,,,,,,
山口紗弥加,,,,,,,
山崎真実,,,,,,,
山上愛,,,,,,,
山瀬まみ,80,59,88,167,45,,unknown
山川恵里佳,,,,,,,
山地まり,,,,,,,
山中絢子,,,,,,,
山中真由美,,,,,,,
山中知恵,,,,,,,
山田まりあ,,,,,,,
山田まりや,87,58,86,153,44,,unknown
山田菜々,,,,,,,
山田南実,,,,,,,
山田優,85,60,84,169,47,,unknown
山本モナ,89,63,92,168,,,unknown
山本梓,82,55,83,157,47.2,,unknown
山本彩,,,,,,,
山本早織,,,,,,,
山本美月,77,59,85,167,,,unknown
山本優希,80,57,80,158,,,unknown
四元奈生美,,,,,,,
市川由衣,83,55,85,158,,,unknown
志田音々,,,,,,,
志田未来,78,60,82,152,,,unknown
志田友美,,,,,,,
指原 莉乃,73,53,82,159,,,unknown
指原莉乃,,,,,,,
似鳥沙也加,,,,,,,
児玉菜々子,,,,,,,
寺田安裕香,,,,,,,
寺田御子,,,,,,,
寺島しのぶ,80,60,83,163,,,unknown
寺尾友美,,,,,,,
寺本莉緒,88,60,88,150,,2001/11/05,
持田香織,78,58,80,160,,,unknown
時東ぁみ,85,58,85,153,46,,unknown
鹿沼憂妃,84,57,87,171,,,unknown
室井佑月,85,59,85,160,,,unknown
篠原涼子,80,60,85,162,,,unknown
篠崎愛,87,60,88,160,,,unknown
篠田麻里子,87,57,85,168,,,unknown
柴咲コウ,76,58,83,160,,,unknown
柴小聖,,,,,,,
紗綾,,,,,,,
釈 由美子,85,58,84,165,,,unknown
若槻千夏,82,58,84,160,,,unknown
若木萌,,,,,,,
手束真知子,,,,,,,
手島優,95,56,86,165,47,,unknown
酒井彩名,,,,,,,
酒井若菜,94,60,84,158,,,unknown
酒井法子,,,,,,,
秋吉久美子,83,58,86,162,,,unknown
秋山奈々,,,,,,,
秋山莉奈,,,,,,,
秋本祐希,83,58,83,164,,,unknown
秋本翼,,,,,,,
十枝梨菜,,,,,,,
十味,,,,,,,
渋谷ゆり,,,,,,,
重盛さと美,82,59,82,152,,,unknown
出口亜梨沙,,,,,,,
春香クリスティーン,82,73,91,169,,,unknown
春菜はな,,,,,,,
春野恵,,,,,,,
純名理沙,,,,,,,
緒川たまき,84,58,88,168,,,unknown
緒方咲,,,,,,,
小間千代,,,,,,,
小宮有紗,,,,,,,
小向美奈子,,,,,,,
小阪由佳,,,,,,,
小室さやか,,,,,,,
小松彩夏,,,,,,,
小松菜奈,81,59,85,167.5,,,unknown
小松詩乃,,,,,,,
小森純,79.1,61,84.5,158,43,,unknown
小瀬田麻由,89,59,88,165,,1994/11/12,
小西真奈美,80,59,88,168,55,,unknown
小雪,83,58,85,170,48,,unknown
小川範子,,,,,,,
小泉梓,,,,,,,
小泉今日子,82,58,85,155,43,,unknown
小泉麻耶,88,60,85,163,,,unknown
小倉優香,,,,,,,
小倉優子,80,60,90,162,43,,unknown
小沢真珠,80,56,85,164,40,,unknown
小池栄子,91,59,87,166,60,,unknown
小池唯,,,,,,,
小池里奈,81,56,87,155,,,
小町桃子,,,,,,,
小島藤子,,,,,,,
小島瑠璃子,81,57,85,157,,,unknown
小嶋陽菜,,,,,,,
小野愛,,,,,,,
小野真弓,,,,,,,
小柳ルミ子,85,57,87,159,,,unknown
小柳歩,,,,,,,
小林かれん,,,,,,,
小林さり,80,57,88,157,,,unknown
小林恵美,,,,,,,
小林麻央,86,60,88,164,,,unknown
小林麻耶,84,57,85,157,48,,unknown
小林優美,,,,,,,
小嶺麗奈,80,58,83,160,,,unknown
松井絵理奈,,,,,,,
松井絵里奈,80,58,77,157,42.5,,unknown
松井珠理奈,,,,,,,
松井玲奈,75,52,84,162,,,unknown
松浦亜弥,,,,,,,
松永有紗,,,,,,,
松岡音々,,,,,,,
松下由紀,83,58,83,163,49,,unknown
松下玲緒菜,,,,,,,
松居直美,80,58,82,157,42,,unknown
松金ようこ,95,58,85,163,,,unknown
松元絵里花,,,,,,,
松坂南,,,,,,,
松山まみ,,,,,,,
松川菜々花,,,,,,,
松川佑依子,,,,,,,
松村沙友理,,,,,,,
松田るか,,,,,,,
松田純,,,,,,,
松田聖子,80,57,83,159,40,,unknown
松田千奈,,,,,,,
松嶋えいみ,,,,,,,
松嶋菜々子,,,,,,,
松嶋尚美,74,61,88,158,48.5,,unknown
松嶋奈々子,84,59,88,172,50,,unknown
松本さゆき,,,,,,,
松本まりか,,,,,,,
松本愛,,,,,,,
上間美緒,,,,,,,
上原多香子,,,,159,44,1983/01/14,
上原美優,,,,,,,
上戸彩,85,58,84,164,46,1985/09/14,
上西恵,,,,,,,
上西怜,,,,,,,
上田操,,,,,,,
上野樹里,80,58,85,167,,,unknown
上野正希子,80,56,83,157,43,1971/02/10,
植村あかり,,,,,,,
新垣結衣,,,,169,,1988/06/11,
新山千春,82,58,85,165,46,,unknown
新川優愛,,,,,,,
新木優子,,,,165,,1993/12/15,
新條由芽,,,,,,,
森下千里,88,55,87,166,,,unknown
森下悠里,90,55,90,160,,,unknown
森口博子,80,59,86,158,43,,unknown
森高千里,88,55,87,166,,,unknown
森咲智美,,,,,,,
森崎 友紀,88,58,88,162,,,unknown
森崎友紀,,,,,,,
森七菜,,,,,154,2001/08/31,
森川彩香,,,,,,,
森川夕貴,,,,166,,1993/09/02,
森泉,82,57,87,174,,,unknown
森田涼花,80,56,80,157,,,unknown
深津絵里,82,56,83,156,41,,unknown
深田恭子,80,63,88,163,,1982/11/02,unknown
真島なおみ,,,,,,,
真木よう子,83,59,83,160,,1982/10/15,unknown
真野恵里菜,,,,,,,
神楽坂恵,,,,,,,
神戸蘭子,82,56,83,154,,,unknown
神室舞衣,86,58,82,158,40,,unknown
神谷えりな,,,,,,,
神田うの,78,57,84,168,43,,unknown
秦みずほ,,,,,,,
仁藤みさき,,,,,,,
須田亜香里,,,,,,,
須之内美帆子,,,,,,,
吹石一恵,86,59,86,169,49,1982/09/28,unknown
水月桃子,,,,,,,
水崎綾女,,,,,,,
水樹たま,97,72,100,152,62,,unknown
水川あさみ,82,58,84,163,,,unknown
水沢アキ,85,60,85,157,,,unknown
水沢アリー,80,57,77,162,,,unknown
水沢奈子,70,59,81,160,42,,unknown
水沢柚乃,,,,,,,
水谷雅子,80,60,85,162,47,,unknown
雛形あきこ,83,57,85,164,53,,unknown
杉ありさ,,,,,,,
杉原 杏璃,89,56,80,157,39,,unknown
杉原杏璃,,,,,,,
杉田かおる,85,60,87,157,52,,unknown
杉本彩,88,58,90,168,55,,unknown
杉本有美,,,,,,,
菅原梨央,,,,,,,
菅本裕子,,,,,,,
菅野美穂,,,,,,,
瀬戸カトリーヌ,83,60,88,163,,,unknown
瀬戸花,,,,,,,
瀬戸早妃,,,,,,,
瀬戸朝香,,,,,,,
成海璃子,81,57,82,163,,,unknown
